100.0,63.0,104.0,155.0,41.0,0.6,4.1,0.4,open
100.0,63.0,104.0,155.0,41.0,1.6,3.1,-0.6,open
100.0,63.0,104.0,154.0,40.0,-0.4,2.1,-0.6,open
100.0,63.0,104.0,155.0,41.0,-0.4,-0.9,0.4,open
100.0,63.0,104.0,155.0,41.0,-4.4,0.1,1.4,open
100.0,63.0,104.0,155.0,40.0,-1.4,-0.9,1.4,open
100.0,63.0,104.0,155.0,41.0,-1.4,0.1,1.4,open
100.0,63.0,104.0,155.0,41.0,-0.4,-0.9,-0.6,open
100.0,63.0,104.0,155.0,40.0,1.6,-1.9,-0.6,open
100.0,63.0,104.0,155.0,41.0,2.6,-0.9,-1.6,open
100.0,63.0,104.0,155.0,41.0,2.6,0.1,-2.6,open
100.0,63.0,104.0,155.0,40.0,0.6,-0.9,-1.6,open
100.0,63.0,104.0,155.0,40.0,2.6,-0.9,-1.6,open
100.0,63.0,104.0,155.0,41.0,-0.4,-1.9,-1.6,open
100.0,63.0,104.0,155.0,41.0,-1.4,-0.9,0.4,open
100.0,63.0,104.0,155.0,41.0,-2.4,0.1,2.4,open
100.0,63.0,104.0,156.0,40.0,-3.4,1.1,3.4,open
100.0,63.0,104.0,155.0,40.0,-4.4,0.1,3.4,open
100.0,63.0,104.0,155.0,41.0,-1.4,3.1,1.4,open
100.0,63.0,103.0,155.0,41.0,0.6,3.1,-1.6,open
100.0,61.0,104.0,153.0,40.0,-0.4,4.1,-4.6,open
99.0,63.0,104.0,155.0,41.0,-1.4,3.1,-5.6,open
100.0,62.0,104.0,155.0,40.0,-3.4,2.1,-1.6,open
100.0,63.0,104.0,155.0,40.0,-2.4,3.1,-0.6,open
100.0,63.0,103.0,155.0,41.0,-1.4,4.1,-0.6,open
100.0,63.0,104.0,155.0,40.0,1.6,3.1,0.4,open
99.0,63.0,103.0,155.0,40.0,1.6,4.1,0.4,open
100.0,62.0,104.0,155.0,40.0,2.6,1.1,-1.6,open
100.0,63.0,104.0,155.0,40.0,3.6,1.1,-1.6,open
100.0,63.0,103.0,155.0,41.0,1.6,2.1,1.4,open
100.0,63.0,104.0,155.0,40.0,2.6,2.1,-0.6,open
100.0,63.0,104.0,155.0,41.0,-1.4,3.1,0.4,open
